verb,3s preterit,3pl preterit,3s perfect,3pl perfect
-kwa,kikwaj,kikwajket,kikwajtuk,kikwajtiwit
-kwi,kikwij,kikwijket,kikwijtuk,kikwijtiwit
wi,witz,witzet,—,—
-i,kik,kiket,kituk,kitiwit
-ma,kimaj,kimajket,kimajtuk,kimajtiwit
-pa,kipaj,kipajket,kipajtuk,kipajtiwit
-pi,kipij,kipijket,kipijtuk,kipijtiwit
-su,kisuj,kisujket,kisujtuk,kisujtiwit
a/kwi,akwij,akwijket,akwijtuk,akwijtiwit
-ajwa,kiajwak,kiajwaket,kiajwatuk,kiajwatiwit
ami,anki / amik,anket / amiket,antuk / amituk,antiwit / amitiwit
-ana,kianki,kianket,kiantuk,kiantiwit
aki,akik,akiket,aktuk,aktiwit
-ayi,kiashki / kiayik,kiashket / kiayiket,kiashtuk / kiayituk,kiashtiwit / kiayitiwit
-kawa,kikawki,kikawket,kikawtuk,kikawtiwit
-kaki,kikak / kikakik,kikakket / kikakiket,kikaktuk,kikaktiwit
sekwi,sekwik,sekwiket,sekwituk,sekwitiwit
sewa,sewki / sejki,sewket / sejket,sewtuk / sejtuk,sewtiwit / sejtiwit
sewi,sewik,sewket / sejket,sewtuk / sejtuk,sewtiwit / sejtiwit
seya,seski / seyak,sesket / seyaket,sestuk / seyatuk,sestiwit / seyatiwit
chijcha,chijchak,chijchaket,chijchatuk,chijchatiwit
-chiwa,kichiw(ki) / kichij(ki),kichiwket / kichijket,kichiwtuk / kichijtuk,kichiwtiwit / kichijtiwit
-chiya,kichishki / kichiyak,kichishket / kichiyaket,kichishtuk / kichiyatuk,kichishtiwit / kichiyatiwit
chuka,chukak,chukaket,chukatuk,chukatiwit
kuchi,kuchki / kuchik,kuchket / kuchiket,kuchtuk,kuchtiwit
-kuwa,kikuwki / kikujki,kikuwket / kikujket,kikuwtuk / kikujtuk,kikuwtiwit / kikujtiwit
-kwakwa,kikwakwaj,kikwakwajket,kikwakwajtuk,kikwakwajtiwit
-kwajkwa,kikwajkwaj,kikwajkwajket,kikwajkwajtuk,kikwajkwajtiwit
-kwajkwa,kikwajkwaj,kikwajkwajket,kikwajkwajtuk,kikwajkwajtiwit
kwalti,kwaltik,kwaltiket,kwaltituk,kwaltitiwit
-kwepa,kikwepki,kikwepket,kikweptuk,kikweptiwit
-kwesa,kikweski,kikwesket,kikwestuk,kikwestiwit
kwika,kwikak,kwikaket,kwikatuk,kwikatiwit
-kwijkwi,kikwijkwij,kikwijkwijket,kikwijkwijtuk,kikwijkwijtiwit
ejku,ejkuk,ejkuket,ejkutuk,ejkutiwit
-wal/kwi,kalkwij,kalkwijket,kalkwijtuk,kalkwijtiwit
wal/ya,walyak / walk,walyaket / walket,walyatuk / waltuk,walyatiwit / waltiwit
waki,wakik,wakiket,waktuk,waktiwit
-watza,kiwatzki,kiwatzket,kiwatztuk,kiwatztiwit
weli,welik,weliket,welituk,welitiwit
wetzi,wetzki / wetzik,wetzket / wetziket,wetztuk,wetztiwit
-wika,kiwikak,kiwikaket,kiwikatuk,kiwikatiwit
iwi,iwki / ijki,iwket / ijket,iwtuk / ijtuk,iwtiwit / ijtiwit
-iwa,kiwaj,kiwajket,kiwajtuk,kiwajtiwit
ijsa,ijsak,ijsaket,ijsatuk,ijsatiwit
-ma/kwi,kimakwij,kimakwijket,kimakwijtuk,kimakwijtiwit
-majkwi,kimajkwik,kimajkwiket,kimajkwituk,kimajkwitiwit
-mawa,kimawki / kimajki,kimawket / kimajket,kimawtuk / kimajtuk,kimawtiwit / kimajtiwit
mawi,mawik,mawket / majket,mawtuk / majtuk,mawtiwit / majtiwit
malti,maltik,maltiket,maltituk,maltitiwit
-mama,kimamaj,kimamajket,kimamajtuk,kimamajtiwit
-mana,kiman(ki),kimanket,kimantuk,kimantiwit
mani,manki / manik,manket / maniket,mantuk,mantiwit
-mati,kimatki / kimatik,kimatket / kimatiket,kimattuk / kimatituk,kimattiwit / kimatitiwit
meya,meshki / meyak,meshket / meyaket,meshtuk / meyatuk,meshtiwit / meyatiwit
-mina,kimin(ki),kiminket,kimintuk,kimintiwit
-mini,kimin(ki),kiminket,kimintuk,kimintiwit
miki,mikik,mikiket,miktuk,miktiwit
-mula,kimulki / kimulak,kimulket / kimulaket,kimultuk / kimulatuk,kimultiwit / kimulatiwit
-muta,kimutki / kimutak,kimutket / kimutaket,kimuttuk / kimutatuk,kimuttiwit / kimutatiwit
nesi,neski / nesik,nesket / nesiket,nestuk,nestiwit
nelti,neltik,neltiket,neltituk,neltitiwit
nemi,nenki / nemik,nenket / nemiket,nentuk / nemituk,nentiwit / nemitiwit
-neki,kinek / kinekik,kinekket / kinekiket,kinektuk,kinektiwit
-nutza,kinutzki,kinutzket,kinutztuk,kinutztiwit
-ujsa,kiujsak,kiujsaket,kiujsatuk,kiujsatiwit
-uya,kiushki / kiuyak,kiushket / kiuyaket,kiushtuk / kiuyatuk,kiushtiwit / kiuyatiwit
-paka,kipakak,kipakaket,kipakatuk,kipakatiwit
paj-i,pajik,pajiket,pajituk,pajitiwit
panu,panuk,panuket,panutuk,panutiwit
paki,pakik,pakiket,paktuk,paktiwit
