verb,3s preterit,3pl preterit,3s perfect,3pl perfect
-ajkana,kiajkan(ki),kiajkanket,kiajkantuk,kiajkantiwit
-ajkania,kiajkanij,kiajkanijket,kiajkanijtuk,kiajkanijtiwit
-ajkawa,kiajkaw(ki) / kiajkaj(ki),kiajkawket / kiajkajket,kiajkawtuk / kiajkajtuk,kiajkawtiwit / kiajkajtiwit
-ajkewa,kiajkew(ki) / kiajkej(ki),kiajkewket / kiajkejket,kiajkewtuk / kiajkejtuk,kiajkewtiwit / kiajkejtiwit
-ajsi,kiajsik,kiajsiket,kiajsituk,kiajsitiwit
-ajsuma,kiajsun(ki),kiajsunket,kiajsuntuk,kiajsuntiwit
-ajwa,kiajwak,kiajwaket,kiajwatuk,kiajwatiwit
-ana,kianki,kianket,kiantuk,kiantiwit
-chakwani,kichakwanki,kichakwanket,kichakwantuk,kichakwantiwit
-chayawa,kichayaw(ki) / kichayaj(ki),kichayawket / kichayajket,kichayawtuk / kichayajtuk,kichayawtiwit / kichayajtiwit
-chichi,kichichik,kichichiket,kichichituk,kichichitiwit
-chichina,kichichin(ki),kichichinket,kichichintuk,kichichintiwit
-chijcha,kichijchak,kichijchaket,kichijchatuk,kichijchatiwit
-chijchimi,kichijchin(ki),kichijchinket,kichijchintuk,kichijchintiwit
-chiwa,kichiw(ki) / kichij(ki),kichiwket / kichijket,kichiwtuk / kichijtuk,kichiwtiwit / kichijtiwit
-chiya,kichishki / kichiyak,kichishket / kichiyaket,kichishtuk / kichiyatuk,kichishtiwit / kichiyatiwit
-ekchiwa,kiekchiw(ki) / kiekchij(ki),kiekchiwket / kiekchijket,kiekchiwtuk / kiekchijtuk,kiekchiwtiwit / kiekchijtiwit
-elkawa,kielkaw(ki) / kielkaj(ki),kielkawket / kielkajket,kielkawtuk / kielkajtuk,kielkawtiwit / kielkajtiwit
-elmuyawa,kielmuyaw(ki) / kielmuyaj(ki),kielmuyawket / kielmuyajket,kielmuyawtuk / kielmuyajtuk,kielmuyawtiwit / kielmuyajtiwit
-elnamiki,kielnamik / kielnamikik,kielnamikket / kielnamikiket,kielnamiktuk,kielnamiktiwit
-ichkwa,kichkwak,kichkwaket,kichkwatuk,kichkwatiwit
-ichteki,kichtek / kichtekik,kichtekket / kichtekiket,kichtektuk,kichtektiwit
-ijchiki,kijchik / kijchikik,kijchikket / kijchikiket,kijchiktuk,kijchiktiwit
-ijisiwi,kijisiw(ki) / kijisij(ki) / kijisiwik,kijisiwket / kijisijket / kijisiwiket,kijisiwtuk / kijisijtuk / kijisiwituk,kijisiwtiwit / kijisijtiwit / kijisiwitiwit
-ijiya,kijishki / kijiyak,kijishket / kijiyaket,kijishtuk / kijiyatuk,kijishtiwit / kijiyatiwit
-ijkwani,kijkwanki,kijkwanket,kijkwantuk,kijkwantiwit
-ijnekwi,kijnek,kijnekket,kijnektuk,kijnektiwit
-ijseki,kijsek / kijsekik,kijsekket / kijsekiket,kijsektuk,kijsektiwit
-ijtzilitza,kijtzilitzki,kijtzilitzket,kijtzilitztuk,kijtzilitztiwit
-ijtzuma,kijtzun(ki),kijtzunket,kijtzuntuk,kijtzuntiwit
-inaya,kinashki / kinayak,kinashket / kinayaket,kinashtuk / kinayatuk,kinashtiwit / kinayatiwit
-iseki,kisek / kisekik,kisekket / kisekiket,kisektuk,kisektiwit
-ishka,kishkak,kishkaket,kishkatuk,kishkatiwit
-ishtuna,kishtun(ki),kishtunket,kishtuntuk,kishtuntiwit
-ita,kitzki / kitak,kitzket / kitaket,kitztuk / kitatuk,kitztiwit / kitatiwit
-ituniya,kitunishki / kituniyak,kitunishket / kituniyaket,kitunishtuk / kituniyatuk,kitunishtiwit / kituniyatiwit
-kaki,kikak / kikakik,kikakket / kikakiket,kikaktuk,kikaktiwit
-kashawa,kikashaw(ki) / kikashaj(ki),kikashawket / kikashajket,kikashawtuk / kikashajtuk,kikashawtiwit / kikashajtiwit
-kawa,kikawki,kikawket,kikawtuk,kikawtiwit
-kekelutza,kikekelutzki,kikekelutzket,kikekelutztuk,kikekelutztiwit
-keluna,kikelun(ki),kikelunket,kikeluntuk,kikeluntiwit
-ketza,kiketzki,kiketzket,kiketztuk,kiketztiwit
-kupewa,kikupew(ki) / kikupej(ki),kikupewket / kikupejket,kikupewtuk / kikupejtuk,kikupewtiwit / kikupejtiwit
-kutuna,kikutun(ki),kikutunket,kikutuntuk,kikutuntiwit
-kuwa,kikuwki / kikujki,kikuwket / kikujket,kikuwtuk / kikujtuk,kikuwtiwit / kikujtiwit
-kuyuna,kikuyun(ki),kikuyunket,kikuyuntuk,kikuyuntiwit
